2026-08-03 22:58:19 | INFO     | packet_capture | Packet Capture Logger Initialized
2026-08-04 20:30:44 | INFO     | packet_capture | [2026-08-04 20:30:44.880085] 10.40.129.197:37529 -> 104.18.32.47:443 TCP (1454 Bytes)
2026-08-04 20:30:44 | INFO     | packet_capture | [2026-08-04 20:30:44.881724] 10.40.129.197:37529 -> 104.18.32.47:443 TCP (1454 Bytes)
2026-08-04 20:30:44 | INFO     | packet_capture | [2026-08-04 20:30:44.885055] 10.40.129.197:37529 -> 104.18.32.47:443 TCP (1384 Bytes)
2026-08-04 20:30:44 | INFO     | packet_capture | [2026-08-04 20:30:44.886711] 10.40.129.197:37529 -> 104.18.32.47:443 TCP (93 Bytes)
2026-08-04 20:30:44 | INFO     | packet_capture | [2026-08-04 20:30:44.888301] 10.40.129.197:37529 -> 104.18.32.47:443 TCP (1428 Bytes)
2026-08-04 20:30:44 | INFO     | packet_capture | [2026-08-04 20:30:44.921339] 10.40.129.197:55505 -> 142.251.150.119:443 UDP (71 Bytes)
2026-08-04 20:30:44 | INFO     | packet_capture | [2026-08-04 20:30:44.924298] 142.251.150.119:443 -> 10.40.129.197:55505 UDP (67 Bytes)
2026-08-04 20:30:44 | INFO     | packet_capture | [2026-08-04 20:30:44.926173] 142.251.150.119:443 -> 10.40.129.197:55505 UDP (67 Bytes)
2026-08-04 20:30:44 | INFO     | packet_capture | [2026-08-04 20:30:44.931580] 172.64.148.235:443 -> 10.40.129.197:56720 TCP (54 Bytes)
2026-08-04 20:30:44 | INFO     | packet_capture | [2026-08-04 20:30:44.933881] 104.18.32.47:443 -> 10.40.129.197:37529 TCP (54 Bytes)
2026-08-04 20:30:44 | INFO     | packet_capture | [2026-08-04 20:30:44.936050] 104.18.32.47:443 -> 10.40.129.197:37529 TCP (54 Bytes)
2026-08-04 20:30:44 | INFO     | packet_capture | [2026-08-04 20:30:44.937925] 104.18.32.47:443 -> 10.40.129.197:37529 TCP (54 Bytes)
2026-08-04 20:30:44 | INFO     | packet_capture | [2026-08-04 20:30:44.941169] 10.40.129.197:55505 -> 142.251.150.119:443 UDP (71 Bytes)
2026-08-04 20:30:45 | INFO     | packet_capture | [2026-08-04 20:30:45.019237] 142.251.150.119:443 -> 10.40.129.197:55505 UDP (67 Bytes)
2026-08-04 20:30:45 | INFO     | packet_capture | [2026-08-04 20:30:45.021283] 104.18.32.47:443 -> 10.40.129.197:37529 TCP (54 Bytes)
2026-08-04 20:30:45 | INFO     | packet_capture | [2026-08-04 20:30:45.025219] 104.18.32.47:443 -> 10.40.129.197:37529 TCP (54 Bytes)
2026-08-04 20:30:45 | INFO     | packet_capture | [2026-08-04 20:30:45.027429] 104.18.32.47:443 -> 10.40.129.197:37529 TCP (54 Bytes)
2026-08-04 20:30:45 | INFO     | packet_capture | [2026-08-04 20:30:45.030526] 104.18.32.47:443 -> 10.40.129.197:37529 TCP (54 Bytes)
2026-08-04 20:30:45 | INFO     | packet_capture | [2026-08-04 20:30:45.032138] 104.18.32.47:443 -> 10.40.129.197:37529 TCP (54 Bytes)
2026-08-04 20:30:45 | INFO     | packet_capture | [2026-08-04 20:30:45.034083] 104.18.32.47:443 -> 10.40.129.197:37529 TCP (93 Bytes)
2026-08-04 20:30:45 | INFO     | packet_capture | [2026-08-04 20:30:45.035494] 104.18.32.47:443 -> 10.40.129.197:37529 TCP (54 Bytes)
2026-08-04 20:30:45 | INFO     | packet_capture | [2026-08-04 20:30:45.037874] 172.64.148.235:443 -> 10.40.129.197:56720 TCP (133 Bytes)
